source,target,ml_importance,source_name,target_name
BAJFINANCE.NS,TMPV.NS,0.020775981073305947,Bajaj Finance,Tata Motors Passenger Vehicles
TCS.NS,^NSEI,0.020705648220859903,TCS,NIFTY 50
INFY.NS,M&M.NS,0.02058938352273572,Infosys,Mahindra & Mahindra
^NSEI,ONGC.NS,0.020496326902455123,NIFTY 50,ONGC
SBIN.NS,DRREDDY.NS,0.020443489732317764,SBI,Dr Reddy's
BAJAJFINSV.NS,HINDUNILVR.NS,0.020111083326146827,Bajaj Finserv,Hindustan Unilever
HCLTECH.NS,ICICIBANK.NS,0.020074344178113,HCL Tech,ICICI Bank
HCLTECH.NS,SBIN.NS,0.020035854292694725,HCL Tech,SBI
DLF.NS,INFY.NS,0.019941001588110553,DLF,Infosys
CL=F,DLF.NS,0.019773344472754188,Crude Oil,DLF
HDFCBANK.NS,DRREDDY.NS,0.019610520625145754,HDFC Bank,Dr Reddy's
GC=F,AXISBANK.NS,0.019610394994522443,Gold,Axis Bank
WIPRO.NS,MARUTI.NS,0.019259431422409788,Wipro,Maruti Suzuki
ONGC.NS,TMPV.NS,0.01913231181277081,ONGC,Tata Motors Passenger Vehicles
INFY.NS,HDFCBANK.NS,0.01908117793154708,Infosys,HDFC Bank
ITC.NS,INR=X,0.01901537370489155,ITC,USD/INR
RELIANCE.NS,HCLTECH.NS,0.018790769675844515,Reliance,HCL Tech
BAJAJFINSV.NS,SBIN.NS,0.018436816934854616,Bajaj Finserv,SBI
M&M.NS,ONGC.NS,0.01828469337406531,Mahindra & Mahindra,ONGC
INFY.NS,ICICIBANK.NS,0.018269669507688085,Infosys,ICICI Bank
AXISBANK.NS,DRREDDY.NS,0.018261079201764764,Axis Bank,Dr Reddy's
INFY.NS,SUNPHARMA.NS,0.01819844191419938,Infosys,Sun Pharma
GC=F,TMPV.NS,0.018186136155520994,Gold,Tata Motors Passenger Vehicles
HCLTECH.NS,TCS.NS,0.018137430278967682,HCL Tech,TCS
BAJAJFINSV.NS,ONGC.NS,0.018110308374905022,Bajaj Finserv,ONGC
INR=X,HDFCBANK.NS,0.017892586397881573,USD/INR,HDFC Bank
M&M.NS,SBIN.NS,0.017890469092098748,Mahindra & Mahindra,SBI
INFY.NS,MARUTI.NS,0.017869082661411045,Infosys,Maruti Suzuki
INR=X,BAJAJFINSV.NS,0.017854546807428182,USD/INR,Bajaj Finserv
ICICIBANK.NS,HCLTECH.NS,0.017768538651342137,ICICI Bank,HCL Tech
SBIN.NS,^NSEBANK,0.017727990175839096,SBI,Bank Nifty
GODREJPROP.NS,DRREDDY.NS,0.017659705153702184,Godrej Properties,Dr Reddy's
INFY.NS,DLF.NS,0.01763110212691922,Infosys,DLF
DLF.NS,CL=F,0.01762421846969841,DLF,Crude Oil
^NSEBANK,BAJFINANCE.NS,0.017622047836041706,Bank Nifty,Bajaj Finance
BAJFINANCE.NS,ONGC.NS,0.017621590365814403,Bajaj Finance,ONGC
SBIN.NS,^NSEI,0.01762152780358814,SBI,NIFTY 50
WIPRO.NS,GODREJPROP.NS,0.017489536840829777,Wipro,Godrej Properties
TMPV.NS,HINDUNILVR.NS,0.017457840257695412,Tata Motors Passenger Vehicles,Hindustan Unilever
^NSEBANK,HCLTECH.NS,0.0173449561141823,Bank Nifty,HCL Tech
TCS.NS,HDFCBANK.NS,0.017253534872347168,TCS,HDFC Bank
WIPRO.NS,AXISBANK.NS,0.017035375158235576,Wipro,Axis Bank
TCS.NS,INR=X,0.016564627280573115,TCS,USD/INR
BAJAJFINSV.NS,M&M.NS,0.01647711178164587,Bajaj Finserv,Mahindra & Mahindra
TCS.NS,MARUTI.NS,0.016445988997063277,TCS,Maruti Suzuki
TCS.NS,ONGC.NS,0.016398725240627104,TCS,ONGC
WIPRO.NS,^NSEI,0.016279745280390542,Wipro,NIFTY 50
GC=F,ICICIBANK.NS,0.0162290882754142,Gold,ICICI Bank
HCLTECH.NS,^NSEI,0.016208454384089542,HCL Tech,NIFTY 50
